 -10  10 -10  0.00103  0.00103 -0.00964
 -10  10  -8  0.00185  0.00185 -0.01233
 -10  10  -6  0.00311  0.00311 -0.01405
 -10  10  -4  0.00471  0.00471 -0.01309
 -10  10  -2  0.00615  0.00615 -0.00814
 -10  10   0  0.00676  0.00676  0.00000
 -10  10   2  0.00615  0.00615  0.00814
 -10  10   4  0.00471  0.00471  0.01309
 -10  10   6  0.00311  0.00311  0.01405
 -10  10   8  0.00185  0.00185  0.01233
 -10  10  10  0.00103  0.00103  0.00964
  -8 -10 -10 -0.00148  0.00086  0.01185
  -8 -10  -8 -0.00311  0.00143  0.01626
  -8 -10  -6 -0.00612  0.00214  0.01996
  -8 -10  -4 -0.01066  0.00278  0.01994
  -8 -10  -2 -0.01541  0.00315  0.01304
  -8 -10   0 -0.01754  0.00324 -0.00000
  -8 -10   2 -0.01541  0.00315 -0.01304
  -8 -10   4 -0.01066  0.00278 -0.01994
  -8 -10   6 -0.00612  0.00214 -0.01996
  -8 -10   8 -0.00311  0.00143 -0.01626
  -8 -10  10 -0.00148  0.00086 -0.01185
  -8  -8 -10 -0.00168  0.00168  0.01523
  -8  -8  -8 -0.00365  0.00365  0.02272
  -8  -8  -6 -0.00749  0.00749  0.03049
  -8  -8  -4 -0.01361  0.01361  0.03307
  -8  -8  -2 -0.02030  0.02030  0.02293
  -8  -8   0 -0.02338  0.02338 -0.00000
  -8  -8   2 -0.02030  0.02030 -0.02293
  -8  -8   4 -0.01361  0.01361 -0.03307
  -8  -8   6 -0.00749  0.00749 -0.03049
  -8  -8   8 -0.00365  0.00365 -0.02272
  -8  -8  10 -0.00168  0.00168 -0.01523
  -8  -6 -10 -0.00142  0.00193  0.01746
  -8  -6  -8 -0.00283  0.00521  0.02869
  -8  -6  -6 -0.00496  0.01367  0.04330
  -8  -6  -4 -0.00693  0.03165  0.05318
  -8  -6  -2 -0.00750  0.05657  0.04068
  -8  -6   0 -0.00731  0.06959 -0.00000
  -8  -6   2 -0.00750  0.05657 -0.04068
  -8  -6   4 -0.00693  0.03165 -0.05318
  -8  -6   6 -0.00496  0.01367 -0.04330
  -8  -6   8 -0.00283  0.00521 -0.02869
  -8  -6  10 -0.00142  0.00193 -0.01746
  -8  -4 -10 -0.00074  0.00067  0.01654
  -8  -4  -8 -0.00055  0.00277  0.03042
  -8  -4  -6  0.00334  0.01137  0.05458
  -8  -4  -4  0.02107  0.04149  0.08524
  -8  -4  -2  0.05896  0.10714  0.08180
  -8  -4   0  0.08283  0.15079 -0.00000
  -8  -4   2  0.05896  0.10714 -0.08180
  -8  -4   4  0.02107  0.04149 -0.08524
  -8  -4   6  0.00334  0.01137 -0.05458
  -8  -4   8 -0.00055  0.00277 -0.03042
  -8  -4  10 -0.00074  0.00067 -0.01654
  -8  -2 -10 -0.00015 -0.00185  0.01053
  -8  -2  -8  0.00109 -0.00488  0.02159
  -8  -2  -6  0.01004 -0.01185  0.04821
  -8  -2  -4  0.06320 -0.01665  0.11643
  -8  -2  -2  0.25674  0.07869  0.20316
  -8  -2   0  0.45046  0.22454 -0.00000
  -8  -2   2  0.25674  0.07869 -0.20316
  -8  -2   4  0.06320 -0.01665 -0.11643
  -8  -2   6  0.01004 -0.01185 -0.04821
  -8  -2   8  0.00109 -0.00488 -0.02159
  -8  -2  10 -0.00015 -0.00185 -0.01053
  -8   0 -10  0.00000 -0.00325  0.00000
  -8   0  -8  0.00000 -0.00998  0.00000
  -8   0  -6  0.00000 -0.03343  0.00000
  -8   0  -4  0.00000 -0.13869  0.00000
  -8   0  -2  0.00000 -0.60499  0.00000
  -8   0   0  0.00000 -5.71040  0.00000
  -8   0   2 -0.00000 -0.60499 -0.00000
  -8   0   4  0.00000 -0.13869 -0.00000
  -8   0   6  0.00000 -0.03343 -0.00000
  -8   0   8  0.00000 -0.00998  0.00000
  -8   0  10  0.00000 -0.00325 -0.00000
  -8   2 -10  0.00015 -0.00185 -0.01053
  -8   2  -8 -0.00109 -0.00488 -0.02159
  -8   2  -6 -0.01004 -0.01185 -0.04821
  -8   2  -4 -0.06320 -0.01665 -0.11643
  -8   2  -2 -0.25674  0.07869 -0.20316
  -8   2   0 -0.45046  0.22454  0.00000
  -8   2   2 -0.25674  0.07869  0.20316
  -8   2   4 -0.06320 -0.01665  0.11643
  -8   2   6 -0.01004 -0.01185  0.04821
  -8   2   8 -0.00109 -0.00488  0.02159
  -8   2  10  0.00015 -0.00185  0.01053
  -8   4 -10  0.00074  0.00067 -0.01654
  -8   4  -8  0.00055  0.00277 -0.03042
  -8   4  -6 -0.00334  0.01137 -0.05458
  -8   4  -4 -0.02107  0.04149 -0.08524
  -8   4  -2 -0.05896  0.10714 -0.08180
  -8   4   0 -0.08283  0.15079  0.00000
  -8   4   2 -0.05896  0.10714  0.08180
  -8   4   4 -0.02107  0.04149  0.08524
  -8   4   6 -0.00334  0.01137  0.05458
  -8   4   8  0.00055  0.00277  0.03042
  -8   4  10  0.00074  0.00067  0.01654
  -8   6 -10  0.00142  0.00193 -0.01746
  -8   6  -8  0.00283  0.00521 -0.02869
  -8   6  -6  0.00496  0.01367 -0.04330
  -8   6  -4  0.00693  0.03165 -0.05318
