 0.250  0.016  0.025  0.004  0.000
 0.248  0.031  0.025  0.004  0.001
 0.246  0.047  0.025  0.004  0.001
 0.242  0.062  0.025  0.004  0.001
 0.238  0.077  0.025  0.004  0.001
 0.232  0.092  0.025  0.004  0.002
 0.226  0.106  0.025  0.004  0.002
 0.219  0.120  0.025  0.004  0.002
 0.211  0.134  0.025  0.004  0.002
 0.202  0.147  0.025  0.003  0.002
 0.193  0.159  0.025  0.003  0.003
 0.182  0.171  0.025  0.003  0.003
 0.171  0.182  0.025  0.003  0.003
 0.159  0.193  0.025  0.003  0.003
 0.147  0.202  0.025  0.002  0.003
 0.134  0.211  0.025  0.002  0.004
 0.120  0.219  0.025  0.002  0.004
 0.106  0.226  0.025  0.002  0.004
 0.092  0.232  0.025  0.002  0.004
 0.077  0.238  0.025  0.001  0.004
 0.062  0.242  0.025  0.001  0.004
 0.047  0.246  0.025  0.001  0.004
 0.031  0.248  0.025  0.001  0.004
 0.016  0.250  0.025  0.000  0.004
-0.000  0.250  0.025 -0.000  0.004
-0.016  0.250  0.025 -0.000  0.004
-0.031  0.248  0.025 -0.001  0.004
-0.047  0.246  0.025 -0.001  0.004
-0.062  0.242  0.025 -0.001  0.004
-0.077  0.238  0.025 -0.001  0.004
-0.092  0.232  0.025 -0.002  0.004
-0.106  0.226  0.025 -0.002  0.004
-0.120  0.219  0.025 -0.002  0.004
-0.134  0.211  0.025 -0.002  0.004
-0.147  0.202  0.025 -0.002  0.003
-0.159  0.193  0.025 -0.003  0.003
-0.171  0.182  0.025 -0.003  0.003
-0.182  0.171  0.025 -0.003  0.003
-0.193  0.159  0.025 -0.003  0.003
-0.202  0.147  0.025 -0.003  0.002
-0.211  0.134  0.025 -0.004  0.002
-0.219  0.120  0.025 -0.004  0.002
-0.226  0.106  0.025 -0.004  0.002
-0.232  0.092  0.025 -0.004  0.002
-0.238  0.077  0.025 -0.004  0.001
-0.242  0.062  0.025 -0.004  0.001
-0.246  0.047  0.025 -0.004  0.001
-0.248  0.031  0.025 -0.004  0.001
-0.250  0.016  0.025 -0.004  0.000
-0.250 -0.000  0.025 -0.004 -0.000
-0.250 -0.016  0.025 -0.004 -0.000
-0.248 -0.031  0.025 -0.004 -0.001
-0.246 -0.047  0.025 -0.004 -0.001
-0.242 -0.062  0.025 -0.004 -0.001
-0.238 -0.077  0.025 -0.004 -0.001
-0.232 -0.092  0.025 -0.004 -0.002
-0.226 -0.106  0.025 -0.004 -0.002
-0.219 -0.120  0.025 -0.004 -0.002
-0.211 -0.134  0.025 -0.004 -0.002
-0.202 -0.147  0.025 -0.003 -0.002
-0.193 -0.159  0.025 -0.003 -0.003
-0.182 -0.171  0.025 -0.003 -0.003
-0.171 -0.182  0.025 -0.003 -0.003
-0.159 -0.193  0.025 -0.003 -0.003
-0.147 -0.202  0.025 -0.002 -0.003
-0.134 -0.211  0.025 -0.002 -0.004
-0.120 -0.219  0.025 -0.002 -0.004
-0.106 -0.226  0.025 -0.002 -0.004
-0.092 -0.232  0.025 -0.002 -0.004
-0.077 -0.238  0.025 -0.001 -0.004
-0.062 -0.242  0.025 -0.001 -0.004
-0.047 -0.246  0.025 -0.001 -0.004
-0.031 -0.248  0.025 -0.001 -0.004
-0.016 -0.250  0.025 -0.000 -0.004
 0.000 -0.250  0.025  0.000 -0.004
 0.016 -0.250  0.025  0.000 -0.004
 0.031 -0.248  0.025  0.001 -0.004
 0.047 -0.246  0.025  0.001 -0.004
 0.062 -0.242  0.025  0.001 -0.004
 0.077 -0.238  0.025  0.001 -0.004
 0.092 -0.232  0.025  0.002 -0.004
 0.106 -0.226  0.025  0.002 -0.004
 0.120 -0.219  0.025  0.002 -0.004
 0.134 -0.211  0.025  0.002 -0.004
