         -44          -1
         -44           0
         -44           1
         -43          -6
         -43          -5
         -43          -4
         -43          -3
         -43           3
         -43           4
         -43           5
         -43           6
         -42         -10
         -42          -9
         -42          -8
         -42          -7
         -42           7
         -42           8
         -42           9
         -42          10
         -41         -14
         -41         -13
         -41         -12
         -41         -11
         -41          11
         -41          12
         -41          13
         -41          14
         -40         -16
         -40         -15
         -40         -14
         -40          14
         -40          15
         -40          16
         -39         -18
         -39         -17
         -39         -16
         -39          16
         -39          17
         -39          18
         -38         -20
         -38         -19
         -38         -18
         -38          18
         -38          19
         -38          20
         -37         -22
         -37         -21
         -37         -20
         -37          20
         -37          21
         -37          22
         -36         -23
         -36         -22
         -36         -21
         -36          21
         -36          22
         -36          23
         -35         -24
         -35         -23
         -35          -2
         -35          -1
         -35           1
         -35           2
         -35          23
         -35          24
         -34         -25
         -34         -24
         -34          -4
         -34          -3
         -34           3
         -34           4
         -34          24
         -34          25
         -33         -26
         -33         -25
         -33          -6
         -33           6
         -33          25
         -33          26
         -32         -27
         -32         -26
         -32          -8
         -32          -7
         -32           7
         -32           8
         -32          26
         -32          27
         -31         -28
         -31         -27
         -31         -26
         -31         -10
         -31          -9
         -31           9
         -31          10
         -31          26
         -31          27
         -31          28
         -30         -28
         -30         -27
         -30         -11
         -30         -10
         -30          10
         -30          11
         -30          27
         -30          28
         -29         -29
         -29         -28
         -29         -12
         -29          12
         -29          28
         -29          29
         -28         -29
         -28         -28
         -28         -13
         -28          13
         -28          28
         -28          29
         -27         -30
         -27         -29
         -27         -14
         -27          -1
         -27           1
         -27          14
         -27          29
         -27          30
         -26         -30
         -26         -29
         -26         -15
         -26          -3
         -26          -2
         -26           2
         -26           3
         -26          15
         -26          29
         -26          30
         -25         -30
         -25         -29
         -25         -16
         -25          -4
         -25           4
         -25          16
         -25          29
         -25          30
         -24         -30
         -24         -29
         -24         -16
         -24          -6
         -24          -5
         -24           5
         -24           6
         -24          16
         -24          29
         -24          30
         -23         -30
         -23         -17
         -23          -7
         -23           7
         -23          17
         -23          30
         -22         -31
         -22         -30
         -22         -17
         -22          -8
         -22           8
         -22          17
         -22          30
         -22          31
         -21         -31
         -21         -30
         -21         -18
         -21          -9
         -21           9
         -21          18
         -21          30
         -21          31
         -20         -31
         -20         -30
         -20         -18
         -20         -10
         -20          10
         -20          18
         -20          30
         -20          31
         -19         -31
         -19         -30
         -19         -18
         -19         -11
         -19          11
         -19          18
         -19          30
         -19          31
         -18         -30
         -18          30
         -17         -30
         -17         -19
         -17         -12
         -17          12
         -17          19
         -17          30
         -16         -30
         -16         -29
         -16         -19
         -16          19
         -16          29
         -16          30
         -15         -30
         -15         -29
         -15         -19
         -15         -13
         -15          13
         -15          19
         -15          29
         -15          30
         -14         -29
         -14          29
         -13         -29
         -13         -28
         -13          28
         -13          29
         -12         -28
         -12         -18
         -12          -1
         -12           0
         -12           1
         -12          18
         -12          28
         -11         -28
         -11         -27
         -11         -18
         -11          -7
         -11          -6
         -11          -5
         -11           5
         -11           6
         -11           7
         -11          18
         -11          27
         -11          28
         -10         -27
         -10         -26
         -10          26
         -10          27
          -9         -26
          -9         -25
          -9         -17
          -9          17
          -9          25
          -9          26
          -8         -25
          -8         -24
          -8         -16
          -8         -12
          -8          12
          -8          16
          -8          24
          -8          25
          -7         -24
          -7         -23
          -7         -15
          -7          15
          -7          23
          -7          24
          -6         -22
          -6          -7
          -6           7
          -6          22
          -5         -21
          -5         -20
          -5         -12
          -5          12
          -5          20
          -5          21
          -4         -18
          -4          -8
          -4           8
          -4          18
          -3         -16
          -3         -15
          -3          15
          -3          16
          -2         -11
          -2         -10
          -2          10
          -2          11
           2         -11
           2         -10
           2          10
           2          11
           3         -16
           3         -15
           3          15
           3          16
           4         -18
           4          -8
           4           8
           4          18
           5         -21
           5         -20
           5         -12
           5          12
           5          20
           5          21
           6         -22
           6          -7
           6           7
           6          22
           7         -24
           7         -23
           7         -15
           7          15
           7          23
           7          24
           8         -25
           8         -24
           8         -16
           8         -12
           8          12
           8          16
           8          24
           8          25
           9         -26
           9         -25
           9         -17
           9          17
           9          25
           9          26
          10         -27
          10         -26
          10          26
          10          27
          11         -28
          11         -27
          11         -18
          11          -7
          11          -6
          11          -5
          11           5
          11           6
          11           7
          11          18
          11          27
          11          28
          12         -28
          12         -18
          12          -1
          12           0
          12           1
          12          18
          12          28
          13         -29
          13         -28
          13          28
          13          29
          14         -29
          14          29
          15         -30
          15         -29
          15         -19
          15         -13
          15          13
          15          19
          15          29
          15          30
          16         -30
          16         -29
          16         -19
          16          19
          16          29
          16          30
          17         -30
          17         -19
          17         -12
          17          12
          17          19
          17          30
          18         -30
          18          30
          19         -31
          19         -30
          19         -18
          19         -11
          19          11
          19          18
          19          30
          19          31
          20         -31
          20         -30
          20         -18
          20         -10
          20          10
          20          18
          20          30
          20          31
          21         -31
          21         -30
          21         -18
          21          -9
          21           9
          21          18
          21          30
          21          31
          22         -31
          22         -30
          22         -17
          22          -8
